restaurant_name,borough,street,longitude,latitude
Pomp and Circumstance Hospitality,Brooklyn,Lorimer Street,-73.949416,40.714264
Charm Kao,Brooklyn,Schermerhorn St.,-73.986352,40.689107
SAKE BAR HAGI 46,Manhattan,W. 46TH STREET,-73.989528,40.760463
Yum yum too,Manhattan,9ave,-73.990683,40.761081
Xochil Pizza Corp,Brooklyn,5th Avenue,-74.008216,40.64714
BECKETTS BAR,Manhattan,PEARL STREET,-74.0102,40.704023
Rico Pollo 3,Brooklyn,5th Avenue,-74.007575,40.64773
Tropical Sensation Restaurant,Manhattan,Amsterdam Ave.,-73.965333,40.800935
MANHATTANVILLE COFFEE,Manhattan,EDGECOMBE AVE,-73.944732,40.821318
Bodrum Turkish Meditrranean Restaurant,Manhattan,AMSTERDAM AVE,-73.973952,40.78916
El Rey Del Pescado,Brooklyn,5th Ave,-74.007542,40.647761
Treadwell Park & Black Hound Bar,Manhattan,South End Avenue,-74.016333,40.710233
La Cabana,Brooklyn,5th Ave,-74.007492,40.64781
Nourish Thai,Brooklyn,Vanderbilt Ave,-73.968714,40.678042
Chez Josephine,Manhattan,W 42nd St,-73.993326,40.758712
La Flor Restaurant and Cafe,Queens,Roosevelt Avenue,-73.911345,40.74451
A-Pou's Taste,Brooklyn,Grand St,-73.936027,40.713085
Public House NYC,Manhattan,3rd avenue,-73.975324,40.749581
Arco Cafe,Manhattan,Amsterdam ave,-73.966956,40.798751
Soda Bar,Brooklyn,Vanderbilt Ave.,-73.968623,40.678287
Brazmex Cafe,Queens,Beach 116 Street,-73.83764,40.58055
I SODI,Manhattan,CHRISTOPHER STREET,-74.004868,40.73331
Dalongyi Hot Pot,Manhattan,elizabeth street,-73.996811,40.716803
Taiwan pork chop house,Manhattan,Doyers,-73.997857,40.714258
"Triangle Apple, LLC dba Applebee's Neighborhood Grill & Bar",Brooklyn,Nostrand Ave,-73.947487,40.631039
Sammy's Original Shrimp Box,Bronx,City Island Avenue,-73.783632,40.8396
Bar Bruno,Brooklyn,Henry Street,-73.999784,40.683374
GUPSHUP,Manhattan,E 18 STREET,-73.987746,40.7368
Groove,Manhattan,Macdougal St,-74.000054,40.730527
Taste of Lahore Inc,Queens,Northern Blvd,-73.89353,40.754694
Universal Halal Inc,Queens,Liberty Avenue,-73.816891,40.689053
chasers bar and grill,Queens,flushing ave,-73.90558,40.720129
Enoteca On Court,Brooklyn,Court Street,-73.995951,40.682232
la villa pizza,Brooklyn,5th ave,-73.981881,40.674461
Marco Polo Ristorante,Brooklyn,Court street,-73.995922,40.68229
Raku Soho,Manhattan,Macdougal St.,-74.002738,40.727321
Silvia L Duran,Manhattan,St Nicholas Avenue,-73.930687,40.8535
El Nuevo Pollo Sabroso,Bronx,Westchester Ave,-73.867128,40.83167
SLAINTE,Manhattan,BOWERY,-73.992427,40.724655
Tacos Y Mas,Queens,Mott Ave,-73.750756,40.603102
luv.n.oven pizzeria,Brooklyn,Dekalb ave,-73.977669,40.689787
Mally's Deli & Grocery corp.,Brooklyn,Knickerbocker av,-73.92663,40.703528
Thai101,Queens,Bell Blvd,-73.771745,40.76506
Meltingpot Cusine,Brooklyn,Broadway,-73.943727,40.701819
The Kettle Black,Brooklyn,3rd Ave,-74.031164,40.62324
Le Bilboquet,Manhattan,East 60th Street,-73.970684,40.764091
TASTY HAND-PULLED NOODLES,Manhattan,DOYERS STREET,-73.997634,40.714094
Tiramisu restaurant,Manhattan,Third avenue,-73.956703,40.77511
NUTRICION SALUD Y VIDA,Bronx,MELROSE AVE,-73.916611,40.818605
OMAR'S,Manhattan,BROOME STREET,-73.992211,40.718735
DUNKIN DONUTS,Manhattan,BROADWAY,-73.97515,40.790014
DUNKIN DONUTS,Manhattan,SAINT NICHOLAS AVENUE,-73.94132,40.831005
Pizzatown,Brooklyn,5th Avenue,-73.977993,40.68004
Fleming By Le Bilboquet,Manhattan,East 62nd Street,-73.969781,40.76537
The Bronx Beer Hall,Bronx,Arthur Avenue,-73.888674,40.854247
Cafe Bilboquet,Manhattan,East 60th Street,-73.97063,40.764069
MASK POT INC,Queens,ROOSEVELT AVE,-73.829236,40.759785
Tea and Burger,Brooklyn,New Utrecht Ave,-73.999308,40.61809
MASK POT INC,Queens,MAIN STREET,-73.829809,40.758924
TAKE YOUR HAND BROOKLYN INC,Brooklyn,8TH AVE STORE A,-74.007865,40.637108
Bar Culaccino,Manhattan,West 56th Street,-73.982322,40.765611
Akino,Queens,Broadway,-73.880563,40.741501
